"Dutch","Nederlands"
"English","Engels"
"German","Duits"
"French","Frans"
"Spanish","Spaans"
"Interface language","Taal betaalomgeving"
"New order status","Status nieuwe bestelling"
"Payment complete status","Status betaalde bestelling"
"Create invoice after payment","Maak factuur aan na betaling"
"Mail invoice to customer", "Mail factuur naar consument"
"Gateway selection","Gateway selectie"
"Auto redirect","Automatische redirect"
"Bank selection","Bank selectie"
"Direct Debit","Automatische incasso"
"Bank Transfer","Overboeking"
"Banktransfer","Overboeking"
"Sign up for a free test account", "Maak gratis een testaccount aan"
"<a href='http://www.multisafepay.com/nl/klantenservice-zakelijk/open-een-testaccount.html' target='_blank'>Sign up for a free test account</a>","<a href='http://www.multisafepay.com/nl/klantenservice-zakelijk/open-een-testaccount.html' target='_blank'>Maak gratis een testaccount aan</a>"
"Automatically redirects the customer back to the webshop after payment. (Skips the 'Transaction Complete' screen)","Stuurt de consument na betaling automatisch terug naar de webshop. (Slaat het 'Transaction Complete' scherm over)"
"- Or use -","- Of kies voor -"
"New order mail","Nieuw order mail"
"After notification","Na notificatie"
"After payment complete","Na betaling"
"Force accept agreements","Algemene voorwaarden"
"If enabled the customer must accept the terms and conditions in the fast checkout process","Wanneer ingeschakeld dient de consument akkoord te gaan met de algemene voorwaarden"
"Alternate Agreements URL","Alternatieve URL voorwaarden"
"Leave this empty for the standard URL for the agreements","Leeg laten voor de default URL"
"Add company name field","Voeg bedrijfsnaam veld toe"
"Company name cannot be empty","Maak bedrijfsnaam veld verplicht"
"This will enable the Table Rates method configured at Shipping Methods -> Table Rates","Dit schakeld de Table Rates verzendmethode in zoals ingesteld bij Verzendmethoden -> Table rates"